Coin ID;Name;Symbol;Reason;URL
ausd;AUSD;AUSD;Stablecoin;https://www.coingecko.com/en/coins/agora-dollar
ausdt;Alloy Tether;AUSDT;Wrapped/Staked/Bridged token;https://www.coingecko.com/en/coins/alloy-tether
bank;Lorenzo Protocol;BANK;Wrapped/Staked/Bridged token;https://www.coingecko.com/en/coins/lorenzo-protocol
bfusd;BFUSD;BFUSD;Stablecoin;https://www.coingecko.com/en/coins/bfusd
bgbtc;Bitget Wrapped BTC;BGBTC;BTC derivative;https://www.coingecko.com/en/coins/bitget-wrapped-btc
busd;BUSD;BUSD;Stablecoin;https://www.coingecko.com/en/coins/binance-usd
crvusd;crvUSD;CRVUSD;Stablecoin;https://www.coingecko.com/en/coins/crvusd
dai;Dai;DAI;Stablecoin;https://www.coingecko.com/en/coins/dai
dola;DOLA;DOLA;Stablecoin;https://www.coingecko.com/en/coins/dola-usd
earnusd;Lido EarnUSD;EARNUSD;Wrapped/Staked/Bridged token;https://www.coingecko.com/en/coins/lido-earnusd
eurc;EURC;EURC;Stablecoin;https://www.coingecko.com/en/coins/euro-coin
eurcv;EUR CoinVertible;EURCV;Stablecoin;https://www.coingecko.com/en/coins/societe-generale-forge-eurcv
europ;EURØP;EUROP;Stablecoin;https://www.coingecko.com/en/coins/schuman-europ
fdusd;First Digital USD;FDUSD;Stablecoin;https://www.coingecko.com/en/coins/first-digital-usd
frax;Legacy Frax Dollar;FRAX;Stablecoin;https://www.coingecko.com/en/coins/frax
gho;GHO;GHO;Stablecoin;https://www.coingecko.com/en/coins/gho
gusd;GUSD;GUSD;Stablecoin;https://www.coingecko.com/en/coins/gusd
lusd;Liquity USD;LUSD;Stablecoin;https://www.coingecko.com/en/coins/liquity-usd
mim;MAGIC•INTERNET•MONEY (Bitcoin);MIM;Stablecoin;https://www.coingecko.com/en/coins/magic-internet-money-runes
nusd;Neutrl USD;NUSD;Stablecoin;https://www.coingecko.com/en/coins/nusd-2
p33;Pharaoh Liquid Staking Token;P33;Wrapped/Staked/Bridged token;https://www.coingecko.com/en/coins/pharaoh-liquid-staking-token
pyusd;PayPal USD;PYUSD;Stablecoin;https://www.coingecko.com/en/coins/paypal-usd
rlusd;Ripple USD;RLUSD;Stablecoin;https://www.coingecko.com/en/coins/ripple-usd
tusd;TrueUSD;TUSD;Stablecoin;https://www.coingecko.com/en/coins/true-usd
usat;USAT;USAT;Stablecoin;https://www.coingecko.com/en/coins/usa
usd0;Usual USD;USD0;Stablecoin;https://www.coingecko.com/en/coins/usual-usd
usd1;USD1;USD1;Stablecoin;https://www.coingecko.com/en/coins/usd1-wlfi
usdb;USDB;USDB;Stablecoin;https://www.coingecko.com/en/coins/usdb
usdc;USDC;USDC;Stablecoin;https://www.coingecko.com/en/coins/usd-coin
usdcv;USD CoinVertible;USDCV;Stablecoin;https://www.coingecko.com/en/coins/usd-coinvertible
usdd;USDD;USDD;Stablecoin;https://www.coingecko.com/en/coins/usdd
usde;Ethena USDe;USDE;Stablecoin;https://www.coingecko.com/en/coins/ethena-usde
usdf;Falcon USD;USDF;Stablecoin;https://www.coingecko.com/en/coins/falcon-finance
usdg;Global Dollar;USDG;Stablecoin;https://www.coingecko.com/en/coins/global-dollar
usdp;Pax Dollar;USDP;Stablecoin;https://www.coingecko.com/en/coins/paxos-standard
usds;USDS;USDS;Stablecoin;https://www.coingecko.com/en/coins/usds
usdt;Tether;USDT;Stablecoin;https://www.coingecko.com/en/coins/tether
usdtb;USDtb;USDTB;Stablecoin;https://www.coingecko.com/en/coins/usdtb
usdy;Ondo US Dollar Yield;USDY;Stablecoin;https://www.coingecko.com/en/coins/ondo-us-dollar-yield
ustc;TerraClassicUSD;USTC;Stablecoin;https://www.coingecko.com/en/coins/terrausd
usyc;Circle USYC;USYC;Stablecoin;https://www.coingecko.com/en/coins/hashnote-usyc
